Hospital.Code,Target.Date,Total.2pm,Total.8pm,Total.8am
101,01/01/2013,1.0,0.0,2
102,01/01/2013,12.0,8.0,11
108,01/01/2013,4.0,10.0,9
201,01/01/2013,3.0,4.0,9
202,01/01/2013,0.0,0.0,5
203,01/01/2013,8.0,1.0,8
300,01/01/2013,5.0,11.0,0
305,01/01/2013,6.0,4.0,7
402,01/01/2013,4.0,0.0,6
403,01/01/2013,11.0,12.0,10
500,01/01/2013,0.0,0.0,0
501,01/01/2013,0.0,2.0,0
600,01/01/2013,4.0,4.0,0
601,01/01/2013,5.0,1.0,10
605,01/01/2013,8.0,1.0,21
607,01/01/2013,0.0,6.0,0
724,01/01/2013,0.0,0.0,0
726,01/01/2013,0.0,0.0,0
800,01/01/2013,0.0,11.0,0
802,01/01/2013,6.0,3.0,8
809,01/01/2013,7.0,5.0,6
904,01/01/2013,3.0,6.0,2
908,01/01/2013,9.0,15.0,9
910,01/01/2013,11.0,14.0,8
913,01/01/2013,6.0,1.0,9
923,01/01/2013,18.0,19.0,31
1049,01/01/2013,0.0,0.0,0
209,01/01/2013,12.0,17.0,22
101,02/01/2013,5.0,1.0,10
102,02/01/2013,10.0,12.0,15
108,02/01/2013,12.0,4.0,18
201,02/01/2013,0.0,0.0,6
202,02/01/2013,4.0,0.0,6
203,02/01/2013,7.0,9.0,9
300,02/01/2013,19.0,14.0,15
305,02/01/2013,3.0,0.0,4
402,02/01/2013,2.0,0.0,0
403,02/01/2013,3.0,0.0,9
500,02/01/2013,1.0,0.0,0
501,02/01/2013,4.0,8.0,2
600,02/01/2013,4.0,14.0,11
601,02/01/2013,4.0,13.0,6
605,02/01/2013,2.0,0.0,10
607,02/01/2013,7.0,8.0,7
724,02/01/2013,0.0,0.0,0
726,02/01/2013,1.0,0.0,0
800,02/01/2013,8.0,8.0,12
802,02/01/2013,11.0,0.0,10
809,02/01/2013,2.0,3.0,2
904,02/01/2013,3.0,4.0,2
908,02/01/2013,6.0,17.0,18
910,02/01/2013,13.0,8.0,21
913,02/01/2013,7.0,5.0,7
923,02/01/2013,16.0,27.0,17
1049,02/01/2013,1.0,3.0,1
209,02/01/2013,18.0,20.0,32
101,03/01/2013,3.0,2.0,6
102,03/01/2013,13.0,12.0,8
108,03/01/2013,4.0,5.0,11
201,03/01/2013,0.0,0.0,3
202,03/01/2013,2.0,0.0,9
203,03/01/2013,14.0,7.0,19
300,03/01/2013,17.0,9.0,23
305,03/01/2013,7.0,2.0,7
402,03/01/2013,6.0,0.0,7
403,03/01/2013,3.0,0.0,5
500,03/01/2013,1.0,0.0,3
501,03/01/2013,8.0,8.0,4
600,03/01/2013,6.0,4.0,8
601,03/01/2013,0.0,0.0,0
605,03/01/2013,1.0,0.0,4
607,03/01/2013,3.0,5.0,19
724,03/01/2013,2.0,9.0,7
726,03/01/2013,1.0,1.0,8
800,03/01/2013,9.0,9.0,20
802,03/01/2013,7.0,0.0,12
809,03/01/2013,6.0,3.0,7
904,03/01/2013,3.0,3.0,4
908,03/01/2013,9.0,17.0,16
910,03/01/2013,11.0,16.0,20
913,03/01/2013,10.0,2.0,19
923,03/01/2013,26.0,11.0,37
1049,03/01/2013,1.0,1.0,6
209,03/01/2013,23.0,28.0,42
101,04/01/2013,3.0,2.0,9
102,04/01/2013,11.0,7.0,10
108,04/01/2013,2.0,0.0,5
201,04/01/2013,0.0,0.0,0
202,04/01/2013,9.0,2.0,20
203,04/01/2013,2.0,0.0,3
300,04/01/2013,9.0,6.0,9
305,04/01/2013,7.0,1.0,7
402,04/01/2013,2.0,0.0,13
403,04/01/2013,0.0,0.0,4
500,04/01/2013,3.0,0.0,5
501,04/01/2013,12.0,11.0,15
600,04/01/2013,5.0,6.0,5
601,04/01/2013,7.0,0.0,4
605,04/01/2013,0.0,0.0,4
607,04/01/2013,9.0,2.0,22
724,04/01/2013,3.0,0.0,9
726,04/01/2013,0.0,0.0,10
800,04/01/2013,0.0,5.0,22
802,04/01/2013,4.0,0.0,6
809,04/01/2013,5.0,0.0,6
904,04/01/2013,4.0,2.0,2
908,04/01/2013,5.0,9.0,18
910,04/01/2013,21.0,13.0,30
913,04/01/2013,11.0,7.0,14
923,04/01/2013,13.0,12.0,25
1049,04/01/2013,1.0,3.0,4
209,04/01/2013,16.0,12.0,42
101,05/01/2013,3.0,3.0,1
102,05/01/2013,2.0,0.0,11
108,05/01/2013,6.0,5.0,11
201,05/01/2013,0.0,0.0,0
202,05/01/2013,0.0,0.0,9
203,05/01/2013,4.0,4.0,4
300,05/01/2013,13.0,9.0,13
305,05/01/2013,0.0,0.0,0
402,05/01/2013,3.0,3.0,5
403,05/01/2013,6.0,0.0,9
500,05/01/2013,1.0,4.0,0
501,05/01/2013,9.0,12.0,10
600,05/01/2013,2.0,2.0,0
601,05/01/2013,0.0,0.0,3
605,05/01/2013,2.0,2.0,5
607,05/01/2013,1.0,3.0,3
724,05/01/2013,9.0,15.0,20
726,05/01/2013,0.0,0.0,0
800,05/01/2013,2.0,4.0,8
802,05/01/2013,0.0,0.0,0
809,05/01/2013,2.0,5.0,3
904,05/01/2013,4.0,1.0,3
908,05/01/2013,9.0,14.0,14
910,05/01/2013,12.0,14.0,13
913,05/01/2013,4.0,6.0,4
923,05/01/2013,22.0,18.0,28
1049,05/01/2013,0.0,3.0,3
209,05/01/2013,10.0,19.0,23
101,06/01/2013,2.0,3.0,4
102,06/01/2013,3.0,6.0,5
108,06/01/2013,12.0,6.0,13
201,06/01/2013,0.0,0.0,0
202,06/01/2013,10.0,7.0,16
203,06/01/2013,9.0,10.0,12
300,06/01/2013,19.0,10.0,20
305,06/01/2013,0.0,0.0,0
402,06/01/2013,1.0,1.0,8
403,06/01/2013,0.0,0.0,8
500,06/01/2013,0.0,0.0,2
501,06/01/2013,16.0,18.0,19
600,06/01/2013,2.0,5.0,4
601,06/01/2013,3.0,3.0,2
605,06/01/2013,3.0,4.0,4
607,06/01/2013,5.0,7.0,7
724,06/01/2013,12.0,26.0,23
726,06/01/2013,2.0,0.0,0
800,06/01/2013,11.0,6.0,13
802,06/01/2013,0.0,0.0,0
809,06/01/2013,2.0,8.0,6
904,06/01/2013,2.0,5.0,0
908,06/01/2013,17.0,10.0,24
910,06/01/2013,20.0,19.0,24
913,06/01/2013,9.0,9.0,10
923,06/01/2013,16.0,17.0,24
1049,06/01/2013,5.0,1.0,3
209,06/01/2013,14.0,19.0,24
101,07/01/2013,5.0,3.0,8
102,07/01/2013,10.0,8.0,8
108,07/01/2013,8.0,9.0,10
201,07/01/2013,0.0,0.0,3
202,07/01/2013,2.0,3.0,13
203,07/01/2013,2.0,1.0,4
300,07/01/2013,22.0,31.0,18
305,07/01/2013,2.0,0.0,1
402,07/01/2013,2.0,0.0,1
403,07/01/2013,4.0,2.0,6
500,07/01/2013,1.0,2.0,0
